,prefecture,year,night_light
346,大阪府,2020,56.64786279916158
347,大阪府,2021,57.81733939015909
348,大阪府,2022,58.521304489891094
349,大阪府,2023,60.677569930242036
350,大阪府,2024,65.51795408418018
353,兵庫県,2014,2.403006663923625
354,兵庫県,2015,2.2270347612919217
355,兵庫県,2016,2.1916730429523907
356,兵庫県,2017,2.420884675944381
357,兵庫県,2018,2.261632660036069
358,兵庫県,2019,2.702128861394657
359,兵庫県,2020,2.659908564106333
360,兵庫県,2021,2.5269135227173836
361,兵庫県,2022,3.036229560902018
362,兵庫県,2023,2.6782415564994757
363,兵庫県,2024,1.3356939895130322
366,奈良県,2014,4.624914872182183
367,奈良県,2015,4.666094972
368,奈良県,2016,4.784910973477784
369,奈良県,2017,5.102268770987722
370,奈良県,2018,5.443118296827226
371,奈良県,2019,5.511347988377777
372,奈良県,2020,5.414206887710226
373,奈良県,2021,5.6494257868387505
374,奈良県,2022,5.690682389807334
375,奈良県,2023,5.737745823190808
376,奈良県,2024,6.269221328843987
379,和歌山県,2014,14.374323532777293
380,和歌山県,2015,14.887892277059608
381,和歌山県,2016,14.122066865786723
382,和歌山県,2017,10.755151138057792
383,和歌山県,2018,9.746764510950753
384,和歌山県,2019,8.115827646341469
385,和歌山県,2020,7.200588773764171
386,和歌山県,2021,8.948959006006094
387,和歌山県,2022,8.394294545744414
388,和歌山県,2023,8.349556834
389,和歌山県,2024,8.323456621678327
392,鳥取県,2014,1.0995508432388306
393,鳥取県,2015,0.9668102264404297
394,鳥取県,2016,1.1261829137802124
395,鳥取県,2017,1.176378846168518
396,鳥取県,2018,1
397,鳥取県,2019,1.0049999952316284
398,鳥取県,2020,1.0750000476837158
399,鳥取県,2021,1
400,鳥取県,2022,1.0449999570846558
401,鳥取県,2023,1.059999942779541
402,鳥取県,2024,0.7799999713897705
405,島根県,2014,0.29884660243988037
406,島根県,2015,0.24163572490215302
407,島根県,2016,0.17208203673362732
408,島根県,2017,0.3832576870918274
409,島根県,2018,0.375
410,島根県,2019,0.3450000286102295
411,島根県,2020,0.4300000071525574
412,島根県,2021,0.48500001430511475
413,島根県,2022,0.5
414,島根県,2023,0.4650000035762787
415,島根県,2024,0.3799999952316284
418,岡山県,2014,2.5482414327178184
419,岡山県,2015,2.5583614375236934
420,岡山県,2016,2.5786340971327406
421,岡山県,2017,2.7426852978218297
422,岡山県,2018,2.7771851026094314
423,岡山県,2019,2.7983145939122815
424,岡山県,2020,2.7956784628488327
425,岡山県,2021,2.9040637774412756
426,岡山県,2022,2.878140205314014
427,岡山県,2023,2.9887003028509294
428,岡山県,2024,3.2382405077649077
431,広島県,2014,31.76112812194263
432,広島県,2015,33.61400738416511
433,広島県,2016,32.361820153939256
434,広島県,2017,34.55065850298121
435,広島県,2018,35.273411119098604
436,広島県,2019,36.416522714227696
437,広島県,2020,36.07162044514199
438,広島県,2021,36.17647448955356
439,広島県,2022,36.281663322617526
440,広島県,2023,37.440910496563255
441,広島県,2024,40.63952016063048
444,山口県,2014,3.962418556213379
445,山口県,2015,3.481365203857422
446,山口県,2016,3.4575066566467285
447,山口県,2017,4.251260757446289
448,山口県,2018,3.875
449,山口県,2019,4.204999923706055
450,山口県,2020,3.804999828338623
451,山口県,2021,3.9049999713897705
452,山口県,2022,5.284999847412109
453,山口県,2023,4.425000190734863
454,山口県,2024,3.75
457,徳島県,2014,0.9342973828315735
458,徳島県,2015,0.8356523513793945
459,徳島県,2016,0.9391151666641235
460,徳島県,2017,1.2767187356948853
461,徳島県,2018,1.1949999332427979
462,徳島県,2019,1.190000057220459
463,徳島県,2020,1.2999999523162842
464,徳島県,2021,1.649999976158142
465,徳島県,2022,1.7149999141693115
466,徳島県,2023,1.5499999523162842
467,徳島県,2024,1.2200000286102295
470,香川県,2014,21.37816811
471,香川県,2015,21.001359939575195
472,香川県,2016,20.896705627441406
473,香川県,2017,21.73843002319336
474,香川県,2018,21.295000076293945
475,香川県,2019,20.125
476,香川県,2020,21.795000076293945
477,香川県,2021,22.529998779296875
478,香川県,2022,21.100000381469727
479,香川県,2023,22.149999618530273
480,香川県,2024,23.25
483,愛媛県,2014,4.871751752871911
484,愛媛県,2015,5.213962159110505
485,愛媛県,2016,4.516572563393602
486,愛媛県,2017,4.032554547763565
487,愛媛県,2018,3.479417490727693
488,愛媛県,2019,3.3282524914417446
489,愛媛県,2020,2.803252447
490,愛媛県,2021,2.980534069746443
491,愛媛県,2022,2.445970901007791
492,愛媛県,2023,3.4593689974071915
493,愛媛県,2024,0.5239805689135801
496,高知県,2014,1.054987907409668
497,高知県,2015,1.0489609241485596
498,高知県,2016,1.0702569484710693
499,高知県,2017,1.201324701309204
500,高知県,2018,1.0350000858306885
501,高知県,2019,1.4049999713897705
502,高知県,2020,1.274999976158142
503,高知県,2021,1.3350000381469727
504,高知県,2022,1.3299999237060547
505,高知県,2023,1.4800000190734863
506,高知県,2024,1.5800000429153442
509,福岡県,2014,1.1636621952056885
510,福岡県,2015,1.2640721797943115
511,福岡県,2016,1.2839374542236328
512,福岡県,2017,1.5260326862335205
513,福岡県,2018,1.659999966621399
514,福岡県,2019,2.0999999046325684
515,福岡県,2020,2.3600001335144043
516,福岡県,2021,2.684999942779541
517,福岡県,2022,3.1500000953674316
518,福岡県,2023,3.429999828338623
519,福岡県,2024,3.200000047683716
522,佐賀県,2014,1.9461186948399685
523,佐賀県,2015,1.9759937187622634
524,佐賀県,2016,1.9568170729838759
525,佐賀県,2017,2.206769645404892
526,佐賀県,2018,2.2447697659311983
527,佐賀県,2019,2.241989222088659
528,佐賀県,2020,2.2078182812492995
529,佐賀県,2021,2.315108362170975
530,佐賀県,2022,2.2993250648120593
531,佐賀県,2023,2.348513148077854
532,佐賀県,2024,2.313579669932105
535,長崎県,2014,0.14375630021095276
536,長崎県,2015,0.19547201693058014
537,長崎県,2016,0.13650743663311005
538,長崎県,2017,0.29666411876678467
539,長崎県,2018,0.30000001192092896
540,長崎県,2019,0.24500000476837158
541,長崎県,2020,0.3700000047683716
542,長崎県,2021,0.38999998569488525
543,長崎県,2022,0.35500001907348633
544,長崎県,2023,0.4350000023841858
545,長崎県,2024,0.46000000834465027
548,熊本県,2014,27.051317313753934
549,熊本県,2015,28.096404012388238
550,熊本県,2016,26.139302880043743
551,熊本県,2017,28.03059814430629
552,熊本県,2018,28.681197494153132
553,熊本県,2019,28.427013058398266
554,熊本県,2020,27.776752745154997
555,熊本県,2021,26.242611897658897
556,熊本県,2022,27.16555823196676
557,熊本県,2023,29.500715417778398
558,熊本県,2024,31.969958959252402
561,大分県,2014,0.2340804785490036
562,大分県,2015,0.23082152009010315
563,大分県,2016,0.22544348239898682
564,大分県,2017,0.4159170389175415
565,大分県,2018,0.3799999952316284
566,大分県,2019,0.39499998092651367
567,大分県,2020,0.38999998569488525
568,大分県,2021,0.4649999737739563
569,大分県,2022,0.4350000023841858
570,大分県,2023,0.5349999666213989
571,大分県,2024,0.5199999809265137
574,宮崎県,2014,0.6566320061683655
575,宮崎県,2015,0.6113201379776001
576,宮崎県,2016,0.5329563021659851
577,宮崎県,2017,0.7811918258666992
578,宮崎県,2018,0.6650000214576721
579,宮崎県,2019,0.5799999833106995
580,宮崎県,2020,0.6600000262260437
581,宮崎県,2021,0.7250000238418579
582,宮崎県,2022,0.6699999570846558
583,宮崎県,2023,0.7250000238418579
584,宮崎県,2024,0.7699999809265137
587,鹿児島県,2014,0.7179920077323914
588,鹿児島県,2015,0.48620304465293884
589,鹿児島県,2016,0.5077770948410034
590,鹿児島県,2017,0.9650600552558899
591,鹿児島県,2018,0.7400000095367432
592,鹿児島県,2019,0.7150000333786011
